date,CMPAS_MAE,TMF_MAE,CMPAS_RMSE,TMF_RMSE
2021030808,0.0576,0.0475,0.1444,0.1326
2021030809,0.0647,0.0377,0.1507,0.1161
2021030810,0.0494,0.0352,0.249,0.2403
2021030811,0.0509,0.0099,0.2208,0.0491
2021030812,0.0202,0.0118,0.0766,0.047
2021030813,0.0149,0.0138,0.1146,0.1138
2021030814,0.0115,0.0098,0.0711,0.0696
2021030815,0.0035,0.0027,0.0189,0.017
2021030816,0.0039,0.0029,0.0205,0.0177
2021030817,0.012,0.0103,0.1153,0.1145
2021030818,0.0013,0.0012,0.0104,0.0102
2021030819,0.0171,0.0035,0.1789,0.0326
2021030820,0.0024,0.0016,0.0145,0.0103
2021030821,0.0003,0.0001,0.0039,0.0019
2021030822,0.0029,0.0005,0.0195,0.0071
2021030823,0.0018,0.001,0.0217,0.0117
2021030900,0.0033,0.0032,0.0184,0.0188
2021030901,0.0035,0.0023,0.0207,0.0135
2021030902,0.007,0.0026,0.0357,0.0134
2021030903,0.0208,0.0065,0.1021,0.0581
2021030904,0.0192,0.0057,0.0929,0.0506
2021030905,0.1326,0.0117,1.7655,0.1373
2021030906,0.0111,0.0059,0.0541,0.0524
2021030907,0.0088,0.0053,0.0394,0.0345
2021030908,0.0027,0.002,0.0146,0.0127
2021030909,0.0033,0.0023,0.0161,0.0123
2021030910,0.0111,0.0063,0.0985,0.0467
2021030911,0.0182,0.0005,0.1493,0.0071
2021030912,0.0014,0.0007,0.0089,0.0072
2021030913,0.0321,0.0015,0.4046,0.0213
2021030914,0.004,0.0038,0.0314,0.0311
2021030915,0.0043,0.0033,0.0373,0.0363
2021030916,0.0029,0.002,0.0146,0.0116
2021030917,0.0036,0.002,0.0209,0.0153
2021030918,0.0067,0.0025,0.0353,0.0293
2021030919,0.0899,0.0032,1.1662,0.0202
2021030920,0.0162,0.0075,0.0757,0.0474
2021030921,0.0157,0.0052,0.083,0.0292
2021030922,0.0254,0.0167,0.1461,0.1141
2021030923,0.0056,0.0025,0.0328,0.0177
2021031000,0.0089,0.0035,0.0573,0.0215
2021031001,0.0033,0.0024,0.0232,0.02
2021031002,0.0081,0.0087,0.0641,0.0681
2021031003,0.0154,0.0147,0.0886,0.0881
2021031004,0.0213,0.0061,0.1078,0.0281
2021031005,0.0266,0.0175,0.1148,0.1222
2021031006,0.0301,0.0157,0.1223,0.0577
2021031007,0.0541,0.0222,0.2769,0.1046
2021031008,0.1537,0.1336,0.5579,0.5758
2021031009,0.1305,0.1082,0.43,0.3479
2021031010,0.1529,0.1112,0.4359,0.3198
2021031011,0.1962,0.1254,0.5971,0.3743
2021031012,0.1339,0.1251,0.3262,0.3673
2021031013,0.1719,0.1624,0.4692,0.464
2021031014,0.2235,0.1586,0.4776,0.3516
2021031015,0.1905,0.1633,0.4704,0.3887
2021031016,0.1381,0.1427,0.32,0.3318
2021031017,0.0858,0.0852,0.218,0.2239
2021031018,0.0998,0.0957,0.2359,0.2178
2021031019,0.0914,0.0911,0.2182,0.2195
2021031020,0.0723,0.0671,0.2552,0.245
2021031021,0.0472,0.047,0.1637,0.1617
2021031022,0.0257,0.026,0.0986,0.1018
2021031023,0.0115,0.0102,0.0409,0.0395
2021031100,0.0127,0.0122,0.0435,0.043
2021031101,0.0129,0.0056,0.0463,0.0292
2021031102,0.0359,0.0323,0.0909,0.0862
2021031103,0.027,0.0251,0.0747,0.0731
2021031104,0.0225,0.0208,0.0634,0.0608
2021031105,0.0241,0.0194,0.068,0.0656
2021031106,0.0219,0.0119,0.0752,0.0422
2021031107,0.0135,0.0113,0.0404,0.0365
2021031108,0.0097,0.0085,0.0334,0.0327
2021031109,0.0076,0.0054,0.0294,0.021
2021031110,0.0045,0.0025,0.0223,0.0138
2021031111,0.0048,0.002,0.0212,0.0142
2021031112,0.0074,0.0041,0.0261,0.0164
2021031113,0.004,0.0026,0.0178,0.0136
2021031114,0.0217,0.0005,0.2776,0.0071
2021031115,0.005,0.0044,0.0247,0.0249
2021031116,0.0023,0.0016,0.0146,0.0104
2021031117,0.0016,0.0011,0.0107,0.0083
2021031118,0.0098,0.0005,0.0962,0.0071
2021031119,0.001,0.0006,0.0058,0.0034
2021031120,0.0012,0.0006,0.0098,0.0049
2021031121,0.004,0.0028,0.0209,0.0149
2021031122,0.0015,0.0015,0.0213,0.0213
2021031123,0.003,0.003,0.0426,0.0426
2021031200,0.0012,0.0011,0.0103,0.0101
2021031201,0.0019,0.0005,0.0121,0.0071
2021031202,0.0014,0.0009,0.0104,0.0067
2021031203,0.0038,0.0024,0.0362,0.0225
2021031204,0.0044,0.0025,0.0576,0.0322
2021031205,0.0021,0,0.0148,0.0001
2021031206,0.0021,0.0015,0.0136,0.0123
2021031207,0.0007,0,0.0075,0
2021031208,0.0005,0.0005,0.0071,0.0071
2021031209,0.0017,0.0014,0.0111,0.0105
2021031210,0.0036,0.0034,0.0366,0.0364
2021031211,0,0,0,0
2021031212,0.002,0.002,0.0284,0.0284
2021031213,0.0004,0.0002,0.0054,0.0024
2021031214,0.0637,0.0005,0.8898,0.0071
2021031215,0.0003,0.0002,0.0027,0.0017
2021031216,0.0054,0,0.0748,0
2021031217,0.0141,0,0.1399,0.0005
2021031218,0.0008,0.0007,0.0085,0.0076
2021031219,0.0005,0.0003,0.0068,0.0042
2021031220,0,0,0,0
2021031221,0.0018,0.0017,0.0215,0.0214
2021031222,0.0007,0.0004,0.0077,0.0048
2021031223,0.0009,0.0005,0.0078,0.0049
2021031300,0.0005,0.0005,0.0071,0.0071
2021031301,0.0006,0.0006,0.0073,0.0072
2021031302,0.0002,0.0001,0.0028,0.0018
2021031303,0.0004,0.0002,0.0041,0.0025
2021031304,0.001,0.0008,0.0087,0.0078
2021031305,0.0012,0.001,0.0105,0.0086
2021031306,0.0019,0.0017,0.0133,0.0127
2021031307,0.0021,0.0021,0.0226,0.0225
2021031308,0.0006,0.0004,0.0073,0.0046
2021031309,0.0001,0.0001,0.0018,0.0011
2021031310,0.0008,0.0006,0.0093,0.0055
2021031311,0.0012,0.0007,0.0073,0.0042
2021031312,0.0083,0.0081,0.1069,0.1067
2021031313,0.0002,0.0001,0.0032,0.0018
2021031314,0.0003,0.0002,0.0035,0.0022
2021031315,0.0076,0.0065,0.08,0.0786
2021031316,0.0018,0.0012,0.0178,0.0118
2021031317,0.0002,0.0001,0.0024,0.0015
2021031318,0.0001,0.0001,0.0016,0.001
2021031319,0.0022,0.0017,0.0179,0.0158
2021031320,0.0015,0.0011,0.0109,0.0089
2021031321,0.0008,0,0.0076,0.0004
2021031322,0.0005,0.0005,0.0071,0.0071
2021031323,0.0001,0.0001,0.0011,0.0007
2021031400,0.0002,0.0001,0.0022,0.0014
2021031401,0.0003,0.0002,0.0044,0.0028
2021031402,0.0011,0.0007,0.0071,0.0044
2021031403,0.0001,0.0001,0.0012,0.0008
2021031404,0.0005,0.0005,0.0071,0.0071
2021031405,0,0,0,0
2021031406,0.0008,0.0005,0.0078,0.005
2021031407,0.0006,0.0006,0.0074,0.0072
2021031408,0,0,0,0
2021031409,0.0008,0.0007,0.0078,0.0074
2021031410,0.0048,0.0047,0.0642,0.0641
2021031411,0.0004,0,0.0031,0
2021031412,0.0006,0.0005,0.0072,0.0071
2021031413,0.002,0.0018,0.0142,0.0131
2021031414,0.0017,0.0016,0.016,0.0159
2021031415,0.0037,0.0021,0.0195,0.012
